product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,12-11-2022,06:38:43
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,12-11-2022,06:38:43
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,12-11-2022,06:38:43
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,12-11-2022,06:38:43
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,12-11-2022,06:38:43
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,12-11-2022,06:38:43
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,12-11-2022,06:38:43
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,13-11-2022,07:48:49
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,13-11-2022,07:48:49
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,13-11-2022,07:48:49
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,13-11-2022,07:48:49
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,13-11-2022,07:48:49
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,13-11-2022,07:48:49
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,13-11-2022,07:48:49
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,14-11-2022,05:12:45
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,14-11-2022,05:12:45
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,14-11-2022,05:12:45
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,14-11-2022,05:12:45
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,14-11-2022,05:12:45
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,14-11-2022,05:12:45
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,14-11-2022,05:12:45
